end_in,length,min_required,reason,start_in,track_id
,1,6,min_track_length,,394
,1,6,min_track_length,,395
,3,6,min_track_length,,396
,1,6,min_track_length,,397
,1,6,min_track_length,,398
,1,6,min_track_length,,399
,1,6,min_track_length,,400
,1,6,min_track_length,,401
,1,6,min_track_length,,402
,1,6,min_track_length,,403
,1,6,min_track_length,,404
,1,6,min_track_length,,405
,1,6,min_track_length,,406
,1,6,min_track_length,,407
,1,6,min_track_length,,408
,1,6,min_track_length,,409
,1,6,min_track_length,,410
,1,6,min_track_length,,411
,1,6,min_track_length,,412
,1,6,min_track_length,,413
,1,6,min_track_length,,414
,1,6,min_track_length,,415
,1,6,min_track_length,,416
,1,6,min_track_length,,417
,1,6,min_track_length,,418
,1,6,min_track_length,,419
,1,6,min_track_length,,420
,1,6,min_track_length,,421
,1,6,min_track_length,,422
,1,6,min_track_length,,423
,1,6,min_track_length,,424
,1,6,min_track_length,,425
,2,6,min_track_length,,426
,1,6,min_track_length,,427
,1,6,min_track_length,,428
,1,6,min_track_length,,429
,1,6,min_track_length,,430
,1,6,min_track_length,,431
,1,6,min_track_length,,432
,1,6,min_track_length,,433
,2,6,min_track_length,,434
,1,6,min_track_length,,435
,1,6,min_track_length,,436
,1,6,min_track_length,,437
,1,6,min_track_length,,438
,1,6,min_track_length,,439
False,,,require_start_or_end_in_valid_region,False,440
,1,6,min_track_length,,441
,1,6,min_track_length,,442
,1,6,min_track_length,,443
,2,6,min_track_length,,444
,2,6,min_track_length,,445
,2,6,min_track_length,,446
,2,6,min_track_length,,447
,1,6,min_track_length,,448
,1,6,min_track_length,,449
,1,6,min_track_length,,450
,2,6,min_track_length,,451
,1,6,min_track_length,,452
,1,6,min_track_length,,453
,1,6,min_track_length,,454
,1,6,min_track_length,,455
,1,6,min_track_length,,456
,1,6,min_track_length,,457
,5,6,min_track_length,,458
,2,6,min_track_length,,459
,1,6,min_track_length,,460
,1,6,min_track_length,,461
,1,6,min_track_length,,462
,1,6,min_track_length,,463
,1,6,min_track_length,,464
,1,6,min_track_length,,465
,1,6,min_track_length,,466
,1,6,min_track_length,,467
,1,6,min_track_length,,468
,1,6,min_track_length,,469
,1,6,min_track_length,,470
,1,6,min_track_length,,471
,1,6,min_track_length,,472
,1,6,min_track_length,,473
,1,6,min_track_length,,474
,1,6,min_track_length,,475
,1,6,min_track_length,,476
,1,6,min_track_length,,477
,1,6,min_track_length,,478
,1,6,min_track_length,,479
,1,6,min_track_length,,480
,1,6,min_track_length,,481
,1,6,min_track_length,,482
,1,6,min_track_length,,483
,1,6,min_track_length,,484
,1,6,min_track_length,,485
,1,6,min_track_length,,486
,1,6,min_track_length,,487
,1,6,min_track_length,,488
,1,6,min_track_length,,489
,1,6,min_track_length,,490
,1,6,min_track_length,,491
,1,6,min_track_length,,492
,1,6,min_track_length,,493
,1,6,min_track_length,,494
,1,6,min_track_length,,495
,1,6,min_track_length,,496
,1,6,min_track_length,,497
,1,6,min_track_length,,498
,1,6,min_track_length,,499
,1,6,min_track_length,,500
,1,6,min_track_length,,501
,1,6,min_track_length,,502
,1,6,min_track_length,,503
,1,6,min_track_length,,504
,1,6,min_track_length,,505
,2,6,min_track_length,,506
,1,6,min_track_length,,507
,1,6,min_track_length,,508
,1,6,min_track_length,,509
,1,6,min_track_length,,510
,1,6,min_track_length,,511
,1,6,min_track_length,,512
,1,6,min_track_length,,513
,1,6,min_track_length,,514
,1,6,min_track_length,,515
,1,6,min_track_length,,516
,1,6,min_track_length,,517
,1,6,min_track_length,,518
,1,6,min_track_length,,519
,2,6,min_track_length,,520
,1,6,min_track_length,,521
,1,6,min_track_length,,522
,1,6,min_track_length,,523
,1,6,min_track_length,,524
,1,6,min_track_length,,525
,1,6,min_track_length,,526
,1,6,min_track_length,,527
,1,6,min_track_length,,528
,1,6,min_track_length,,529
,2,6,min_track_length,,530
,1,6,min_track_length,,531
,1,6,min_track_length,,532
,1,6,min_track_length,,533
