any_sample_inside_raw,direction_as_events_csv,direction_endpoint_rule,displacement_px,end_in_valid_dilated,end_in_valid_raw,final_gate_fail_reason,frame_end,frame_span,frame_start,internal_gap_frames,is_exit_as_events_csv,not_exit_reason_primary,num_detections,overlay_category,passed_post_filter_pre_merge,path_length_px,relaxed_exit_outward,start_in_valid_dilated,start_in_valid_raw,track_id,x_end,x_start,y_end,y_start
False,outside,outside,108.63,False,False,require_start_or_end_in_valid_region,1902,7,1896,1,False,strict_endpoints_both_outside_never_inside_mask,6,no_exit_gate_final,False,109.49,False,False,False,65,1448.0,1549.0,597.0,637.0
False,outside,outside,0.0,False,False,min_track_length,1900,1,1900,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,66,230.0,230.0,56.0,56.0
False,outside,outside,0.0,False,False,min_track_length,1902,1,1902,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,67,782.5,782.5,552.5,552.5
False,outside,outside,314.54,False,False,require_start_or_end_in_valid_region,1920,12,1909,1,False,strict_endpoints_both_outside_never_inside_mask,11,no_exit_gate_final,False,322.27,False,False,False,68,993.5,1279.0,762.5,630.5
False,outside,outside,0.0,False,False,min_track_length,1912,1,1912,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,69,401.0,401.0,476.5,476.5
False,outside,outside,0.0,False,False,min_track_length,1916,1,1916,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,70,1140.0,1140.0,716.0,716.0
False,outside,outside,98.64,False,False,min_track_length,1941,11,1931,9,False,strict_endpoints_both_outside_never_inside_mask,2,no_exit_length_or_shape,False,98.64,False,False,False,71,1191.5,1272.0,630.5,573.5
False,outside,outside,0.0,False,False,min_track_length,1972,1,1972,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,72,1163.0,1163.0,34.0,34.0
False,outside,outside,0.0,False,False,min_track_length,1988,1,1988,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,73,951.0,951.0,612.5,612.5
False,outside,outside,0.0,False,False,min_track_length,1990,1,1990,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,74,807.0,807.0,538.5,538.5
False,outside,outside,0.0,False,False,min_track_length,2018,1,2018,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,75,458.0,458.0,585.5,585.5
False,outside,outside,0.0,False,False,min_track_length,2018,1,2018,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,76,1485.5,1485.5,181.5,181.5
False,outside,outside,0.0,True,False,min_track_length,2061,1,2061,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,True,False,77,497.5,497.5,765.5,765.5
False,outside,outside,0.0,False,False,min_track_length,2061,1,2061,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,78,967.0,967.0,723.0,723.0
False,outside,outside,0.0,False,False,min_track_length,2065,1,2065,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,79,1429.5,1429.5,588.0,588.0
False,outside,outside,0.0,False,False,min_track_length,2089,1,2089,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,80,1485.0,1485.0,653.0,653.0
False,outside,outside,0.0,False,False,min_track_length,2146,1,2146,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,81,509.0,509.0,573.0,573.0
